date,ticker,current_price,expiration_date,days_to_expiration,max_pain_price,distance_dollars,distance_percent,put_call_ratio,total_put_oi,total_call_oi,contracts_analyzed
2025-06-15 18:49:47,SPY,597,2025-06-16,1,600.0,3.0,0.5025125628140703,1.865,159782,85694,178
2025-06-15 18:51:07,SPY,597,2025-06-16,1,600.0,3.0,0.5025125628140703,1.865,159782,85694,178
2025-06-15 18:53:23,SPY,597,2025-06-16,1,600.0,3.0,0.5025125628140703,1.865,159782,85694,178
2025-06-15 18:55:39,SPY,597,2025-06-16,1,600.0,3.0,0.5025125628140703,1.865,159782,85694,178
2025-06-15 18:59:20,SPY,597,2025-06-16,1,600.0,3.0,0.5025125628140703,1.865,159782,85694,178
2025-06-15 18:59:50,SPY,597,2025-06-16,1,600.0,3.0,0.5025125628140703,1.865,159782,85694,178
